Código,Nome,Enderezo,Concello,Provincia,Cód. postal,Teléfono,Tipo de centro,COORDENADA_X,COORDENADA_Y,TITULARIDADE,ENSINO_CONCERTADO,DEPENDENTE
15026741,CMUS Profesional das Pontes de G.Rodríg.,Avenida das Veigas s/n,As Pontes de García Rodríguez,A Coruña,15320,981440024,CMUS,43.4508094787598,-7.86278295516968,Pública,Non,Non
15026753,IES A Pontepedriña,Rúa Amor Ruibal (A Pontepedriña),Santiago de Compostela,A Coruña,15702,881867152,IES,42.8678512573242,-8.54648590087891,Pública,Non,Si
15026765,CEIP Milladoiro,Rúa VENTORRILLO s/n,Malpica de Bergantiños,A Coruña,15113,881880736,CEIP,43.3208618164063,-8.81751537322998,Pública,Non,Si
15026777,CEIP Plurilingüe Pepe de Xan Baña,Traba,Santa Comba,A Coruña,15848,881866641,CEIP,43.0618171691894,-8.74726390838623,Pública,Non,Si
15026789,CEIP Baíñas,Baíñas (Santo Antoíño),Vimianzo,A Coruña,15127,881960010,CEIP,43.0299797058105,-9.02367877960205,Pública,Non,Si
15026807,IES Félix Muriel,Rúa MARÍA ANA MOGAS 1,Rianxo,A Coruña,15920,881866646,IES,42.6533584594726,-8.80803108215332,Pública,Non,Si
15026947,CEMU Profesional Obradoiro,"Rúa Feans, 152 - (Apartado 1189)",A Coruña,A Coruña,15190,981281888,CEMU,43.3189468383789,-8.42546272277832,Privada,Non,Non
15026960,CEIP Plurilingüe de Ponzos,Rúa Ponzos s/n,Ferrol,A Coruña,15404,981370480,CEIP,43.4891204833984,-8.21622848510742,Pública,Non,Si
15027010,CDAN Profesional da Coruña,"Rúa Franxa, 14 - Pazo de Martelo",A Coruña,A Coruña,15001,981080181,CDAN,43.3709678649902,-8.39706325531006,Pública,Non,Non
15027022,CMUS Profesional Federico Paz Carbajal,Rúa Frai Xosé Dos Santos 7,Noia,A Coruña,15200,981824885,CMUS,42.7787094116211,-8.89131355285645,Pública,Non,Non
15027046,CPR Raiola,Rúa Raiola 2,Santiago de Compostela,A Coruña,15702,981594060,CPR,42.8619804382324,-8.53636074066162,Privada,Si,Non
15027058,IES As Fontiñas,Rúa ESTOCOLMO 5,Santiago de Compostela,A Coruña,15707,881866661,IES,42.8861045837402,-8.52310943603516,Pública,Non,Si
15027125,IES de Viós,Lugar A Poceira 8,Abegondo,A Coruña,15318,881960793,IES,43.2026138305664,-8.28501605987549,Pública,Non,Si
15027149,CEIP Plurilingüe de Cespón,Cespon,Boiro,A Coruña,15991,881866691,CEIP,42.6730003356934,-8.86081695556641,Pública,Non,Si
15027162,CMUS Profesional de Melide,Rúa Galicia s/n,Melide,A Coruña,15800,981507929,CMUS,42.9160957336426,-8.01441860198975,Pública,Non,Non
15027216,IES Fernando Esquío,Rúa Empedron 16,Neda,A Coruña,15510,881930387,IES,43.5138854980469,-8.15099143981934,Pública,Non,Si
15027228,IES María Casares,Avenida CHE GUEVARA 140,Oleiros,A Coruña,15179,981626344,IES,43.3399467468262,-8.35147571563721,Pública,Non,Si
15027241,CEIP Juan Fernández Latorre,Rúa Casanova de Eiris 26,A Coruña,A Coruña,15009,981133029,CEIP,43.3488006591797,-8.39803409576416,Pública,Non,Si
15027253,CEIP Isaac Díaz Pardo,"Avenida Ribados, s/n (Carcabelos)",Culleredo,A Coruña,15670,881880608,CEIP,43.3125762939453,-8.37192535400391,Pública,Non,Si
15027307,IES Isidro Parga Pondal,Muiño da Pintura,Carballo,A Coruña,15100,881880371,IES,43.2219161987305,-8.69083976745606,Pública,Non,Si
15027319,IES de Sar,Rúa BERNARDO BARREIRO DE V.V. s/n,Santiago de Compostela,A Coruña,15702,881867162,IES,42.8744697570801,-8.54016494750977,Pública,Non,Si
15027332,CEIP das Fontiñas,Rúa de Roma 21,Santiago de Compostela,A Coruña,15707,981543175,CEIP,42.8845748901367,-8.52363777160645,Pública,Non,Si
15027368,IES Maximino Romero de Lema,Prado da Torre s/n,Zas,A Coruña,15150,881960015,IES,43.1445388793945,-8.95662498474121,Pública,Non,Si
15027381,ESMU Municipal de Padrón,Praza Rodriguez Cobian s/n,Padrón,A Coruña,15900,981810451,ESMU,42.7393264770508,-8.66148567199707,Pública,Non,Non
15027393,CEIP Xesús San Luís Romero,Rúa Fotografo Xose Vidal s/n,Carballo,A Coruña,15100,881880415,CEIP,43.2055549621582,-8.68892478942871,Pública,Non,Si
15027401,CEIP Ana María Diéguez,Atalaia s/n,Rianxo,A Coruña,15984,881867175,CEIP,-8.79367446999998,42.679122925,Pública,Non,Si
15027411,IES de Cacheiras,Costenla 36,Teo,A Coruña,15883,881866473,IES,42.8199272155762,-8.55569934844971,Pública,Non,Si
15027423,CPR Dolores Ramos - Manuel Peleteiro,Rúa Santiago Leon de Caracas s/n,Santiago de Compostela,A Coruña,15701,981597266,CPR,42.8712310791016,-8.54623317718506,Privada,Non,Non
15027447,EDANPR BSdanza,"Rúa Nova de Abaixo 16, galerías",Santiago de Compostela,A Coruña,15701,676256788,EDANPR,42.8746719360351,-8.55065727233887,Privada,Non,Non
15027484,CEMU Profesional Peleteiro,Rúa Monte Redondo,Santiago de Compostela,A Coruña,15702,981591475,CEMU,42.8514175415039,-8.53612518310547,Privada,Non,Non
15027502,CEE Manuel López Navalón,Lugar CASAS DO REGO 20,Santiago de Compostela,A Coruña,15898,981562977,CEE,42.8848991394043,-8.55671787261963,Pública,Non,Si
15027514,ESMU Municipal de Porto do Son,"Rúa Santo Andre, 51 (Portosin)",Porto do Son,A Coruña,15999,981867412,ESMU,42.7583808898926,-8.94808483123779,Pública,Non,Non
15027526,CEIP Mestre Pastor Barral,Camiño Real s/n,Melide,A Coruña,15800,881866132,CEIP,42.9084777832031,-8.01784133911133,Pública,Non,Si
15027551,CRA de Rianxo,Lugar Asados,Rianxo,A Coruña,15984,981863305,CRA,42.6775588989258,-8.79314422607422,Pública,Non,Si
15027575,EMUSPR Estudio,Rúa Neira de Mosquera 7,Santiago de Compostela,A Coruña,15702,981561895,EMUSPR,42.8759841918945,-8.542236328125,Privada,Non,Non
15027587,ESMU Municipal de Arzúa,Rúa Santiago 2,Arzúa,A Coruña,15810,981500934,ESMU,42.928165435791,-8.16802406311035,Pública,Non,Non
15027605,ESMU Municipal de Carnota,San Mamede De Carnota (San Mamede),Carnota,A Coruña,15293,981857032,ESMU,42.8935089111328,-9.13588905334473,Pública,Non,Non
15027617,CMUS Profesional Xan Viaño,Avenida DO MAR - CARANZA 2-4,Ferrol,A Coruña,15406,981333317,CMUS,43.4846496582031,-8.21067047119141,Pública,Non,Si
15027629,EMUSPR Allegro,Centro Comerc. Os Tilos - Local 54/55,Teo,A Coruña,15886,981801684,EMUSPR,42.8448219299316,-8.54017162322998,Privada,Non,Non
15027654,IES Agra de Leborís,Rúa Rosalia de Castro s/n,A Laracha,A Coruña,15145,881880676,IES,43.2466087341309,-8.58415222167969,Pública,Non,Si
15027666,ESMU Municipal de Cee,"Rúa da Escola, s/n (Escabanas)",Cee,A Coruña,15270,981745100,ESMU,42.9542999267578,-9.18862533569336,Pública,Non,Non
15027678,CEEPR ASPANAES,"Rúa Areosa, Poboado das Veigas s/n",As Pontes de García Rodríguez,A Coruña,15320,981450542,CEEPR,43.4486503601074,-7.86048173904419,Privada,Si,Non
15027691,IES de Porto do Son,Rúa As Laxes 18,Porto do Son,A Coruña,15970,881866707,IES,42.7316665649414,-8.9909143447876,Pública,Non,Si
15027708,CEIP Plurilingüe Ría do Burgo,Rúa MARÍA CAGIAO 8,Culleredo,A Coruña,15174,881961083,CEIP,43.3206062316894,-8.37858772277832,Pública,Non,Si
15027711,IES Leliadoura,Frións,Ribeira,A Coruña,15967,881867186,IES,42.5538864135742,-9.00589179992676,Pública,Non,Si
