,Graphics card,Type,Performance,Architecture,Year,Price now,TDP
0,GeForce RTX 4090,desktop,100.00,Ada Lovelace,2022,1756 USD,450 W
1,GeForce RTX 4080,desktop,89.40,Ada Lovelace,2022,1451 USD,320 W
2,GeForce RTX 4080 SUPER,desktop,88.36,Ada Lovelace,2024,−,320 W
3,GeForce RTX 4070 Ti,desktop,81.99,Ada Lovelace,2023,837 USD,285 W
4,GeForce RTX 4070 Ti SUPER,desktop,81.92,Ada Lovelace,2024,−,285 W
5,Radeon RX 7900 XTX,desktop,79.89,RDNA 3,2022,859 USD,355 W
6,GeForce RTX 4070 SUPER,desktop,77.57,Ada Lovelace,2024,−,285 W
7,GeForce RTX 3090 Ti,desktop,76.82,Ampere,2022,1251 USD,450 W
8,RTX 4500 Ada Generation,desktop,76.65,Ada Lovelace,2023,−,130 W
9,GeForce RTX 4090 D,desktop,75.93,Ada Lovelace,2023,−,425 W
10,Radeon PRO W7900,workstation,75.51,RDNA 3.0,2023,4649 USD,295 W
11,Radeon PRO W7800,workstation,74.82,RDNA 3.0,2023,3907 USD,260 W
12,Radeon RX 7900 XT,desktop,74.43,RDNA 3,2022,884 USD,315 W
13,Radeon RX 6950 XT,desktop,73.11,Navi / RDNA2,2022,961 USD,335 W
14,RTX 6000 Ada Generation,desktop,72.58,Ada Lovelace,2022,−,300 W
15,GeForce RTX 3080 Ti,desktop,70.28,Ampere,2020,1135 USD,350 W
16,GeForce RTX 4070,desktop,69.76,Ada Lovelace,2023,791 USD,200 W
17,Radeon RX 6900 XT,desktop,69.32,Navi / RDNA2,2020,957 USD,300 W
18,GeForce RTX 3090,desktop,69.26,Ampere,2020,1198 USD,350 W
19,GeForce RTX 3080 12 GB,desktop,69.05,Ampere,2022,1053 USD,350 W
20,Radeon RX 7900 GRE,desktop,68.35,RDNA 3,2023,−,260 W
21,RTX 4000 Ada Generation,desktop,66.92,Ada Lovelace,2023,−,130 W
22,GeForce RTX 3080,desktop,65.37,Ampere,2020,823 USD,320 W
23,Radeon RX 6800 XT,desktop,64.79,Navi / RDNA2,2020,696 USD,300 W
24,RTX 5000 Ada Generation,desktop,62.39,Ada Lovelace,2023,−,250 W
25,Radeon RX 7800 XT,desktop,62.00,RDNA 3,2023,−,300 W
26,GeForce RTX 3070 Ti,desktop,61.10,Ampere,2021,757 USD,290 W
27,GeForce RTX 4060 Ti,desktop,59.19,Ada Lovelace,2023,461 USD,160 W
28,RTX A5000,workstation,59.13,Ampere,2021,3327 USD,230 W
29,GeForce RTX 3070,desktop,57.86,Ampere,2020,662 USD,220 W
30,Radeon RX 7900M,notebook,57.85,RDNA 3,−,−,180 W
31,Radeon RX 6800,desktop,57.62,Navi / RDNA2,2020,781 USD,250 W
32,RTX A4500,workstation,56.23,Ampere,2021,2591 USD,200 W
33,GeForce RTX 2080 Ti,desktop,56.23,Turing,2018,297 USD,270 W
34,Radeon RX 7700 XT,desktop,55.54,RDNA 3,2023,−,245 W
35,RTX A5500,desktop,54.52,Ampere,2022,3965 USD,230 W
36,Radeon RX 6750 XT,desktop,53.70,Navi / RDNA2,2022,559 USD,250 W
37,GeForce RTX 4090 Mobile,notebook,53.48,Ada Lovelace,2023,−,150 W
38,Radeon PRO W7700,workstation,53.46,RDNA 3.0,2023,−,190 W
39,Radeon RX 6750 GRE 10 GB,desktop,53.29,RDNA 2.0,2023,−,170 W
40,RTX 4000 SFF Ada Generation,desktop,53.11,Ada Lovelace,2023,−,70 W
41,GeForce RTX 3060 Ti,desktop,53.07,Ampere,2020,361 USD,220 W
42,GeForce RTX 4080 Mobile,notebook,52.45,Ada Lovelace,2023,−,150 W
43,GeForce RTX 4060 Ti 8G,desktop,52.39,Ada Lovelace,2023,424 USD,160 W
44,RTX 5000 Ada Generation Mobile,notebook,52.17,Ada Lovelace,2023,−,150 W
45,Quadro GV100,workstation,51.68,Volta,2018,5183 USD,250 W
46,Radeon Pro W6800,workstation,51.42,Navi / RDNA2,2021,1990 USD,250 W
47,Radeon RX 6700 XT,desktop,51.34,Navi / RDNA2,2021,685 USD,230 W
48,GeForce RTX 4060,desktop,50.68,Ada Lovelace,2023,340 USD,115 W
49,GeForce RTX 2080 Super,desktop,50.61,Turing,2019,599 USD,250 W
50,RTX A4000,workstation,50.15,Ampere,2021,1112 USD,140 W
51,TITAN Xp,desktop,50.14,Pascal,2017,174 USD,250 W
52,Quadro RTX 8000,workstation,50.00,Turing,2018,3230 USD,260 W
53,RTX 2000 Ada Generation,desktop,49.51,Ada Lovelace,2024,−,70 W
54,GeForce RTX 4060 Ti 16G,desktop,49.42,Ada Lovelace,−,−,−
55,Radeon RX 6750 GRE 12 GB,desktop,48.82,RDNA 2.0,2023,−,250 W
56,Quadro RTX 6000,workstation,48.72,Turing,2018,3083 USD,260 W
57,TITAN RTX,desktop,48.68,Turing,2018,1035 USD,280 W
58,GeForce RTX 2080,desktop,48.56,Turing,2018,426 USD,215 W
59,A10G,desktop,48.33,Ampere,2021,216 USD,150 W
60,Radeon RX 6700,desktop,48.12,RDNA 2.0,2021,551 USD,175 W
61,GeForce GTX 1080 Ti,desktop,47.90,Pascal,2017,321 USD,250 W
62,GeForce RTX 2070 Super,desktop,47.12,Turing,2019,261 USD,215 W
63,Radeon PRO W7600,workstation,46.48,RDNA 3.0,2023,−,130 W
64,Radeon RX 6850M XT,notebook,46.33,RDNA 2,2022,−,145 W
65,GeForce RTX 3080 Ti Mobile,notebook,45.89,Ampere,2022,−,150 W
66,GeForce RTX 4070 Mobile,notebook,45.52,Ada Lovelace,2023,−,115 W
67,Radeon Pro W5700X,workstation,45.41,RDNA 1.0,2019,−,205 W
68,Radeon RX 7600 XT,desktop,45.04,RDNA 3.0,2024,−,190 W
69,Radeon RX 6650 XT,desktop,44.67,Navi / RDNA2,2022,465 USD,176 W
70,TITAN V,desktop,44.21,Volta,2017,228 USD,250 W
71,GeForce RTX 3060,desktop,44.10,Ampere,2021,317 USD,170 W
72,TITAN V CEO Edition,desktop,43.85,Volta,2018,1630 USD,250 W
73,Arc A750,desktop,43.77,Generation 12.7,2022,625 USD,225 W
74,Radeon VII,desktop,43.08,Vega,2019,160 USD,295 W
75,Radeon RX 5700 XT,desktop,43.04,Navi / RDNA,2019,111 USD,225 W
76,Radeon RX 5700 XT 50th Anniversary,desktop,42.91,RDNA 1.0,2019,409 USD,225 W
77,GeForce RTX 2060 Super,desktop,42.78,Turing,2019,374 USD,175 W
78,Radeon RX 6600 XT,desktop,42.55,Navi / RDNA2,2021,283 USD,160 W
79,Quadro GP100,workstation,42.27,Pascal,2016,1482 USD,235 W
80,GeForce RTX 4060 Mobile,notebook,42.14,Ada Lovelace,2023,−,115 W
81,GeForce RTX 3070 Ti Mobile,notebook,42.01,Ampere,2022,−,125 W
82,Radeon RX 7600,desktop,41.96,RDNA 3.0,2023,352 USD,165 W
83,Quadro RTX A6000,workstation,41.94,Ampere,2020,8932 USD,300 W
84,GeForce RTX 2070,desktop,41.74,Turing,2018,309 USD,175 W
85,GeForce RTX 3080 Mobile,notebook,41.69,Ampere,2021,−,150 W
86,Quadro RTX 5000,workstation,41.39,Turing,2018,1540 USD,230 W
87,GeForce GTX 1070 SLI Mobile,notebook,41.38,Pascal,2016,274 USD,−
88,Arc A580,desktop,41.36,,2023,−,175 W
89,Radeon Pro Vega II Duo,workstation,41.24,GCN 5.1,2019,5226 USD,475 W
90,GeForce RTX 2060 12 GB,desktop,41.00,Turing,2021,530 USD,184 W
91,Radeon Pro W6600,workstation,40.95,RDNA 2.0,2021,1522 USD,100 W
92,Radeon RX 6800S,notebook,40.31,RDNA 2,2021,−,100 W
93,GeForce GTX 1080,desktop,40.08,Pascal,2016,241 USD,180 W
94,Arc A770M,notebook,40.07,Xe HPG,2022,−,150 W
95,RTX A5500 Mobile,notebook,39.98,Ampere,2022,−,165 W
96,Radeon Pro Vega II,workstation,39.94,GCN 5.1,2019,9999 USD,475 W
97,GeForce RTX 3060 8 GB,desktop,39.90,Ampere,2022,384 USD,170 W
98,Quadro RTX 4000,workstation,39.78,Turing,2018,974 USD,160 W
99,RTX A5000 Mobile,notebook,39.76,Ampere,2021,−,165 W
100,Radeon Pro W5700,workstation,39.33,RDNA 1.0,2019,748 USD,205 W
101,GeForce RTX 2080 Super Mobile,notebook,39.08,Turing,2020,1671 USD,150 W
102,Radeon RX 7700S,notebook,39.07,RDNA 3,2023,−,100 W
103,Radeon RX 6600,desktop,39.03,Navi / RDNA2,2021,358 USD,132 W
104,GeForce RTX 2080 Mobile,notebook,39.00,Turing,2019,2003 USD,150 W
105,GeForce RTX 4050 Mobile,notebook,38.98,Ada Lovelace,2023,−,115 W
106,Quadro P6000,workstation,38.82,Pascal,2016,989 USD,250 W
107,GeForce GTX 980 SLI Mobile,notebook,38.78,Maxwell,2015,301 USD,330 W
108,GeForce GTX 1070 SLI,desktop,38.56,Pascal,2016,185 USD,300 W
109,Radeon RX 6700S,notebook,38.40,RDNA 2,2022,−,80 W
110,Radeon Pro VII,workstation,38.35,GCN 5.1,2020,2378 USD,250 W
111,Quadro RTX 5000 Mobile,mobile workstation,38.29,Turing,2019,3065 USD,110 W
112,GeForce GTX 1070 Ti,desktop,37.90,Pascal,2017,231 USD,180 W
113,Radeon PRO W7500,workstation,37.89,RDNA 3.0,2023,−,70 W
114,Radeon Pro Vega 64X,workstation,37.77,GCN 5.0,2019,366 USD,250 W
115,Radeon RX 6650M,notebook,37.59,RDNA 2,2022,−,120 W
116,GeForce GTX 1080 SLI Mobile,notebook,37.47,Pascal,2016,352 USD,−
117,Radeon RX 5700,desktop,37.45,Navi / RDNA,2019,116 USD,180 W
118,Radeon RX Vega 64,desktop,37.16,Vega,2017,125 USD,295 W
119,GeForce RTX 3070 Mobile,notebook,37.08,Ampere,2021,−,125 W
120,GeForce RTX 2070 Super Mobile,notebook,36.59,Turing,2020,1443 USD,115 W
121,GeForce RTX 2060,desktop,36.52,Turing,2019,397 USD,175 W
122,RTX 2000 Ada Generation Mobile,notebook,36.49,Ada Lovelace,2023,−,115 W
123,Radeon RX 7600S,notebook,36.19,RDNA 3,2023,−,75 W
124,RTX 3000 Ada Generation Mobile,notebook,36.06,Ada Lovelace,2023,−,115 W
125,Radeon Pro WX 8200,workstation,35.96,GCN 5.0,2018,2172 USD,230 W
126,GeForce RTX 2070 Super Max-Q,notebook,35.95,Turing,2020,812 USD,80 W
127,GeForce RTX 2080 Max-Q,notebook,35.87,Turing,2019,1268 USD,80 W
128,GeForce GTX 1080 Mobile,notebook,35.71,Pascal,2016,230 USD,150 W
129,GeForce GTX 980 Ti,desktop,35.67,Maxwell,2015,1195 USD,250 W
130,GeForce RTX 2080 Super Max-Q,notebook,35.60,Turing,2020,812 USD,90 W
131,RTX A2000,desktop,35.55,Ampere,2021,567 USD,70 W
132,Arc A730M,notebook,35.54,Xe HPG,2022,−,120 W
133,RTX A2000 12 GB,desktop,35.41,Ampere,2021,967 USD,70 W
134,Radeon RX 5600 XT,desktop,35.35,RDNA 1.0,2020,94 USD,150 W
135,Radeon RX 6600S,notebook,35.31,RDNA 2,2022,−,80 W
136,Quadro RTX 5000 Max-Q,mobile workstation,35.21,Turing,2019,2130 USD,80 W
137,Radeon RX 6600M,notebook,35.09,RDNA 2,2020,−,100 W
138,Radeon Pro W6600M,mobile workstation,34.98,RDNA 2,2021,−,90 W
139,GeForce GTX 1070,desktop,34.87,Pascal,2016,180 USD,150 W
140,Radeon RX 6700M,notebook,34.59,RDNA 2,2020,−,135 W
141,Radeon Vega Frontier Edition,desktop,34.40,GCN 5.0,2017,961 USD,300 W
142,Radeon RX Vega 56,desktop,34.35,Vega,2017,224 USD,210 W
143,Radeon RX 6800M,notebook,34.32,RDNA 2,2021,−,145 W
144,Radeon Pro W6600X,workstation,33.85,RDNA 2.0,2021,−,120 W
145,GeForce GTX TITAN X,desktop,33.68,Maxwell 2.0,2015,290 USD,250 W
146,Titan X Pascal,desktop,33.63,Pascal,2016,312 USD,250 W
147,Radeon Pro Vega 64,workstation,33.52,GCN 5.0,2017,6074 USD,250 W
148,GeForce GTX 1660 Ti,desktop,33.37,Turing,2019,284 USD,120 W
149,Radeon PRO WX 9100,workstation,33.34,GCN 5.0,2017,1880 USD,230 W
150,RTX A3000 Mobile,notebook,33.09,Ampere,2021,−,130 W
151,Quadro RTX 4000 Max-Q,mobile workstation,33.03,Turing,2019,−,80 W
152,GeForce GTX 1660 Super,desktop,32.98,Turing,2019,277 USD,125 W
153,Tesla P40,workstation,32.72,Pascal,2016,131 USD,250 W
154,Tesla T10,workstation,32.65,Turing,−,−,260 W
155,Quadro RTX 4000 Mobile,mobile workstation,32.59,Turing,2019,2890 USD,110 W
156,Radeon Pro 5700 XT,workstation,32.56,RDNA 1.0,2020,−,130 W
157,GeForce RTX 3050 8 GB,desktop,32.56,Ampere,2022,385 USD,130 W
158,GeForce RTX 3060 Mobile,notebook,32.40,Ampere,2021,−,115 W
159,Quadro P5200 Max-Q,workstation,31.89,Pascal,2018,−,100 W
160,GeForce RTX 2070 Mobile,notebook,31.89,Turing,2019,1758 USD,115 W
161,Radeon Pro Vega 56,workstation,31.89,Vega,2017,4999 USD,210 W
162,Quadro P5000,workstation,31.85,Pascal,2016,1270 USD,180 W
163,Quadro P5200,mobile workstation,31.73,Pascal,2017,3894 USD,150 W
164,GeForce RTX 3050 OEM,desktop,31.07,Ampere,2022,−,130 W
165,Radeon RX 5600 OEM,desktop,30.87,RDNA 1.0,2020,154 USD,150 W
166,Quadro M6000 24 GB,workstation,30.68,Maxwell 2.0,2016,2104 USD,250 W
167,Radeon Pro 5700,workstation,30.57,RDNA 1.0,2020,356 USD,130 W
168,GeForce RTX 2070 Max-Q,notebook,30.37,Turing,2019,1311 USD,80 W
169,Quadro M6000,workstation,30.36,Maxwell 2.0,2015,1792 USD,250 W
170,GeForce GTX 1660,desktop,30.18,Turing,2019,252 USD,120 W
171,Quadro P4000,workstation,30.09,Pascal,2017,485 USD,105 W
172,Quadro P5000 Mobile,mobile workstation,29.84,Pascal,2017,2137 USD,100 W
173,L4,desktop,29.73,Ada Lovelace,2023,240 USD,72 W
174,Quadro P4200 Max-Q,workstation,29.34,Pascal,2018,−,100 W
175,GeForce RTX 2060 Mobile,notebook,29.31,Turing,2019,1250 USD,80 W
176,Radeon Pro Vega 48,workstation,29.17,GCN 5.0,2019,671 USD,−
177,Radeon RX 7600M XT,notebook,29.06,RDNA 3,2023,−,120 W
178,GeForce GTX 980,desktop,28.71,Maxwell,2014,339 USD,220 W
179,CMP 40HX,desktop,28.58,Turing,2021,152 USD,185 W
180,GeForce GTX 1070 Mobile,notebook,28.40,Pascal,2016,379 USD,115 W
181,Radeon Pro SSG,workstation,28.32,GCN 3.0,2016,321 USD,260 W
182,Fiji,desktop,28.26,GCN 3.0,−,22 USD,−
183,Tesla T4,workstation,28.16,Turing,2018,782 USD,70 W
184,Tesla M40 24 GB,workstation,27.04,Maxwell 2.0,2015,250 USD,250 W
185,GeForce GTX 1060 6 GB,desktop,26.46,Pascal,2016,911 USD,120 W
186,GeForce GTX 1080 Max-Q,notebook,26.35,Pascal,2017,1008 USD,90 W
187,GeForce GTX 1660 Ti Mobile,notebook,26.33,Turing,2019,682 USD,80 W
188,Tesla M40,workstation,26.28,Maxwell 2.0,2015,101 USD,250 W
189,GeForce GTX 1650 SUPER,desktop,26.18,Turing,2019,206 USD,125 W
190,Quadro RTX 3000 Mobile,mobile workstation,26.11,Turing,2019,2393 USD,80 W
191,Radeon R9 FURY X,desktop,25.85,GCN 3.0,2015,350 USD,275 W
192,Arc A770,desktop,25.77,Alchemist,2022,597 USD,225 W
193,RTX A2000 Mobile,notebook,25.52,Ampere,2021,−,95 W
194,GeForce RTX 2060 Max-Q,notebook,25.32,Turing,2019,1680 USD,65 W
195,Quadro P4200,mobile workstation,25.03,Pascal,2018,1526 USD,115 W
196,GeForce RTX 3050 6GB Mobile,notebook,24.98,Ampere,2023,−,60 W
197,GeForce RTX 3050 Ti Mobile,notebook,24.97,Ampere,2021,−,60 W
198,GeForce GTX 970,desktop,24.90,Maxwell,2014,105 USD,150 W
199,GeForce RTX 3050 4GB Mobile,notebook,24.81,Ampere,2021,−,60 W
200,Radeon R9 Fury,desktop,24.76,GCN 1.2,2015,44 USD,275 W
201,GeForce GTX 1060 3 GB,desktop,24.75,Pascal,2016,1112 USD,120 W
202,GeForce GTX 980M SLI,notebook,24.67,Maxwell,2014,499 USD,200 W
203,GeForce GTX 780 Ti,desktop,24.56,Kepler,2013,461 USD,250 W
204,Radeon RX 6500 XT,desktop,24.56,Navi / RDNA2,2022,274 USD,107 W
205,Radeon RX 590,desktop,24.42,Polaris,2018,133 USD,175 W
206,Radeon R9 390X,desktop,24.36,GCN,2015,20 USD,275 W
207,GeForce GTX 970M SLI,notebook,24.21,Maxwell,2014,1326 USD,162 W
208,Quadro M5000,workstation,24.21,Maxwell 2.0,2015,823 USD,150 W
209,Quadro P2200,workstation,24.12,Pascal,2019,409 USD,75 W
210,Radeon Pro 5600M,mobile workstation,24.04,Navi / RDNA,2020,−,50 W
211,Quadro P3200 Max-Q,mobile workstation,23.80,Pascal,2018,−,75 W
212,Arc A550M,notebook,23.67,Xe HPG,2022,−,80 W
213,Radeon RX 5500 XT,desktop,23.65,RDNA 1.0,2019,317 USD,130 W
214,Radeon Pro W5500,workstation,23.61,RDNA 1.0,2020,308 USD,125 W
215,GeForce RTX 3050 Mobile,notebook,23.55,Ampere,2022,−,130 W
216,GeForce GTX TITAN BLACK,desktop,23.36,Kepler,2014,799 USD,250 W
217,GeForce GTX 1060 5 GB,desktop,23.33,Pascal,2017,203 USD,120 W
218,GeForce GTX TITAN Z,desktop,23.20,Kepler,2014,830 USD,375 W
219,Radeon R9 390,desktop,23.09,GCN 2.0,2015,20 USD,300 W
220,RTX A1000 Mobile,notebook,23.05,Ampere,2022,−,95 W
221,Quadro P3200,mobile workstation,23.02,Pascal,2017,2122 USD,78 W
222,Radeon RX 6550M,notebook,23.02,RDNA 2,2023,−,80 W
223,Radeon RX 580,desktop,22.92,Polaris,2017,138 USD,185 W
224,Quadro P4000 Max-Q,mobile workstation,22.75,Pascal,2017,803 USD,80 W
225,GeForce GTX 1660 Ti Max-Q,notebook,22.75,Turing,2019,1037 USD,60 W
226,Radeon RX 5500,desktop,22.72,RDNA 1.0,2019,444 USD,110 W
227,Tesla P4,workstation,22.38,Pascal,2016,92 USD,75 W
228,Radeon RX 5600M,notebook,22.33,Navi / RDNA,2020,525 USD,60 W
229,Radeon R9 295X2,desktop,22.30,GCN 2.0,2014,600 USD,500 W
230,Radeon RX 480,desktop,22.29,Polaris,2016,174 USD,150 W
231,GeForce GTX 980 Mobile,notebook,22.13,Maxwell,2014,251 USD,100 W
232,Radeon R9 Nano,desktop,21.91,GCN 1.2,2015,27 USD,175 W
233,GeForce GTX 880M SLI,notebook,21.90,Kepler,2014,3098 USD,206 W
234,Quadro RTX 3000 Max-Q,mobile workstation,21.59,Turing,2019,−,60 W
235,Radeon Pro 5500 XT,workstation,21.58,RDNA 1.0,2020,2499 USD,125 W
236,Hawaii,desktop,21.25,GCN 2.0,−,11 USD,−
237,Quadro P4000 Mobile,mobile workstation,21.13,Pascal,2017,1053 USD,73.4 W
238,GeForce GTX TITAN,desktop,21.12,Kepler,2013,640 USD,250 W
239,GeForce GTX 1060 Mobile,notebook,21.06,Pascal,2016,240 USD,80 W
240,Radeon Pro Duo,workstation,21.00,GCN 3.0,2016,4200 USD,350 W
241,Radeon RX 470,desktop,20.90,Polaris,2016,14 USD,120 W
242,Radeon R9 290,desktop,20.89,GCN 2.0,2013,20 USD,275 W
243,Quadro K6000,workstation,20.80,Kepler,2013,429 USD,225 W
244,GeForce GTX 780,desktop,20.68,Kepler,2013,100 USD,250 W
245,Quadro T2000 Mobile,mobile workstation,20.61,Turing,2019,2221 USD,60 W
246,FirePro W9100,workstation,20.54,GCN 2.0,2014,1566 USD,275 W
247,Radeon Pro W6400,workstation,20.53,RDNA 2.0,2022,206 USD,50 W
248,Radeon RX 580 Mobile,notebook,20.50,Polaris,2017,410 USD,100 W
249,Tesla M60,workstation,20.46,Maxwell 2.0,2015,81 USD,300 W
250,Quadro M5500,mobile workstation,20.43,Maxwell,2016,1700 USD,150 W
251,Radeon Pro WX 7100,workstation,20.35,Polaris,2017,582 USD,130 W
252,GeForce GTX 1650,desktop,20.33,Turing,2019,185 USD,75 W
253,Radeon RX 6500M,notebook,20.30,RDNA 2,2022,−,50 W
254,Radeon RX 6500,notebook,20.25,,−,−,−
255,Radeon RX 580X,desktop,20.13,GCN 4.0,2018,191 USD,185 W
256,GeForce GTX 1650 Ti Mobile,notebook,20.12,Turing,2020,892 USD,50 W
257,Radeon Pro 580,workstation,20.01,GCN 4.0,2017,5999 USD,150 W
258,GeForce GTX 780M SLI,notebook,19.99,Kepler,2013,149 USD,200 W
259,Radeon RX 580 2048SP,desktop,19.91,GCN 4.0,2018,110 USD,150 W
260,T1200 Mobile,notebook,19.90,Turing,2021,−,95 W
261,Quadro T1200 Mobile,mobile workstation,19.90,Turing,2021,−,95 W
262,T1000,desktop,19.79,Turing,2021,119 USD,50 W
263,T1000 8 GB,desktop,19.70,Turing,2021,690 USD,50 W
264,Radeon RX 5300,desktop,19.69,RDNA 1.0,2020,558 USD,100 W
265,Ellesmere,desktop,19.52,GCN 4.0,−,16 USD,−
266,Radeon R9 M290X Crossfire,notebook,19.52,GCN,2014,−,200 W
267,Radeon Pro 580X,workstation,19.46,GCN 4.0,2019,5999 USD,150 W
268,Radeon RX 6400,desktop,19.45,RDNA 2.0,2022,376 USD,53 W
269,Quadro P3000 Mobile,mobile workstation,19.19,Pascal,2017,537 USD,75 W
270,Radeon R9 290X,desktop,19.17,GCN,2013,20 USD,350 W
271,Radeon HD 8970M Crossfire,notebook,18.97,GCN,2012,170 USD,200 W
272,GeForce GTX 980M,notebook,18.97,Maxwell,2014,583 USD,100 W
273,Radeon RX 470 Mobile,notebook,18.82,Polaris,2016,148 USD,120 W
274,FirePro W8100,workstation,18.79,GCN 2.0,2014,590 USD,220 W
275,Quadro P2000,workstation,18.76,Pascal,2017,371 USD,75 W
276,Radeon Pro 5300,workstation,18.66,RDNA 1.0,2020,1300 USD,85 W
277,GeForce RTX 2050 Mobile,notebook,18.55,Ampere,2021,−,30 W
278,Radeon 780M,notebook,18.37,RDNA 3,2023,−,54 W
279,GeForce GTX 1650 Mobile,notebook,18.37,Turing,2019,301 USD,50 W
280,Radeon RX 570,desktop,17.98,Polaris,2017,114 USD,120 W
281,Radeon Pro W5500X,workstation,17.98,RDNA 1.0,2019,224 USD,125 W
282,GeForce GTX 1070 Max-Q,notebook,17.94,Pascal,2017,1244 USD,115 W
283,Arc A310,notebook,17.91,Xe HPG,2022,−,75 W
284,Quadro M5000M,mobile workstation,17.89,Maxwell,2015,468 USD,100 W
285,Quadro T2000 Max-Q,mobile workstation,17.87,Turing,2019,−,35 W
286,Arc 8-Cores iGPU,notebook,17.81,Xe LPG,−,−,−
287,Radeon Pro 5500M,mobile workstation,17.59,Navi / RDNA,2019,1950 USD,50 W
288,Quadro T1000 Max-Q,mobile workstation,17.34,Turing,2019,−,35 W
289,Arc 7-Cores iGPU,notebook,17.31,Xe LPG,−,−,−
290,Quadro M4000,workstation,17.27,Maxwell 2.0,2015,314 USD,120 W
291,Radeon R9 285,desktop,17.24,GCN 3.0,2014,85 USD,190 W
292,GeForce GTX 965M SLI,notebook,17.23,Maxwell,2015,149 USD,−
293,Quadro T1000,workstation,17.03,Turing,2019,920 USD,50 W
294,Radeon RX Vega M GH,notebook,16.93,Vega,2018,1031 USD,100 W
295,Radeon 680M,notebook,16.91,RDNA 2,2022,−,45 W
296,Quadro T1000 Mobile,mobile workstation,16.88,Turing,2019,1890 USD,50 W
297,Quadro P2000 Mobile,mobile workstation,16.86,Pascal,2017,1477 USD,50 W
298,T600,desktop,16.69,Turing,2021,143 USD,40 W
299,GeForce GTX 1650 Ti Max-Q,notebook,16.56,Turing,2020,1183 USD,35 W
300,GeForce GTX 680M SLI,notebook,16.50,Kepler,2012,149 USD,−
301,P106-100,desktop,16.41,Pascal,2017,15 USD,120 W
302,Quadro T600 Mobile,mobile workstation,16.36,Turing,2021,−,40 W
303,Radeon Pro 570,workstation,16.36,GCN 4.0,2017,356 USD,120 W
304,GeForce GTX 1050 Ti,desktop,16.30,Pascal,2016,207 USD,70 W
305,Radeon R9 380X,desktop,16.06,GCN 3.0,2015,12 USD,250 W
306,Tesla K80,workstation,16.03,Kepler 2.0,2014,83 USD,300 W
307,Radeon HD 7970M Crossfire,notebook,15.98,GCN,2012,126 USD,200 W
308,Quadro M4000M,mobile workstation,15.98,Maxwell,2015,832 USD,100 W
309,GeForce GTX 1650 Max-Q,notebook,15.91,Turing,2019,1185 USD,35 W
310,Radeon R9 380,desktop,15.88,GCN,2015,13 USD,220 W
311,GeForce MX570 A,desktop,15.88,Ampere,2022,1574 USD,25 W
312,FirePro W9000,workstation,15.84,GCN 1.0,2012,877 USD,274 W
313,Arc A370M,notebook,15.76,Xe HPG,2022,−,50 W
314,GeForce GTX 960,desktop,15.65,Maxwell,2015,440 USD,100 W
315,Quadro K5200,workstation,15.56,Kepler,2014,451 USD,150 W
316,GeForce MX570,notebook,15.54,Ampere,2021,−,15 W
317,Radeon Pro 5300M,mobile workstation,15.47,Navi / RDNA,2019,2068 USD,65 W
318,Tesla M6,workstation,15.32,Maxwell 2.0,2015,350 USD,100 W
319,Radeon RX 6300,desktop,15.30,RDNA 2.0,−,−,32 W
320,GeForce GTX 770,desktop,15.29,Kepler,2013,254 USD,230 W
321,GeForce GTX 1050 Ti Mobile,notebook,15.28,Pascal,2017,545 USD,75 W
322,Radeon PRO W6300,workstation,15.22,RDNA 2.0,2022,−,25 W
323,Radeon 760M,notebook,15.22,RDNA 3,2023,−,54 W
324,GeForce GTX 1060 Max-Q 6 GB,notebook,15.21,Pascal,2017,1010 USD,60 W
325,Radeon R9 280X,desktop,15.07,GCN,2013,12 USD,200 W
326,FirePro W7100,workstation,14.96,GCN 3.0,2014,466 USD,150 W
327,GeForce GTX 970M,notebook,14.80,Maxwell,2014,848 USD,81 W
328,Arc A380,notebook,14.45,Generation 12.7,2022,591 USD,75 W
329,GeForce GTX 690,desktop,14.43,Kepler,2012,411 USD,300 W
330,Radeon Pro WX 5100,workstation,14.42,GCN 4.0,2016,854 USD,75 W
331,Radeon HD 7990,desktop,14.37,GCN 1.0,2013,486 USD,375 W
332,Radeon R9 280,desktop,14.36,GCN 1.0,2014,91 USD,200 W
333,GeForce GTX 770M SLI,notebook,14.35,Kepler,2013,149 USD,150 W
334,Tonga,desktop,14.31,GCN 3.0,−,23 USD,−
335,Radeon RX Vega M GL / 870,notebook,14.31,Vega,2018,−,65 W
336,Quadro M3000M,mobile workstation,14.31,Maxwell,2015,981 USD,75 W
337,GeForce GTX 680,desktop,14.30,Kepler,2012,156 USD,195 W
338,UHD Graphics 730 (Rocket Lake),notebook,14.23,,2021,−,15 W
339,Arc A350M,notebook,14.16,Xe HPG,2022,−,35 W
340,Radeon RX 5500M,notebook,14.15,Navi / RDNA,2019,998 USD,85 W
341,Radeon E8950,desktop,14.15,GCN 3.0,2015,−,95 W
342,Apple M1 8-Core GPU,notebook,14.03,,2020,−,−
343,GeForce GTX 760 Ti OEM,desktop,14.01,Kepler,2013,229 USD,170 W
344,GeForce GTX 1050 Ti Max-Q,notebook,13.87,Pascal,2018,1140 USD,40 W
345,FirePro D700,workstation,13.83,GCN 1.0,2014,413 USD,274 W
346,GeForce GTX 950,desktop,13.78,Maxwell,2015,13 USD,90 W
347,GeForce GTX 670,desktop,13.76,Kepler,2012,22 USD,170 W
