,Graphics card,Type,Performance,Architecture,Year,Price now,TDP
933,Radeon R7 (Kaveri),notebook,1.48,GCN 1.1,2014,135 USD,−
934,Radeon HD 7650A,desktop,1.48,TeraScale 2,2012,46 USD,33 W
935,Quadro 1000M,mobile workstation,1.47,Fermi,2011,129 USD,45 W
936,Quadro 500M,workstation,1.47,Fermi,2011,58 USD,35 W
937,GeForce GT 820M,desktop,1.47,Fermi 2.0,2013,310 USD,15 W
938,GeForce 8800 GTS 512,desktop,1.47,Tesla,2007,146 USD,135 W
939,Radeon R7 M360,notebook,1.46,GCN 2.0,2015,879 USD,−
940,Radeon R6 (Carrizo),notebook,1.46,GCN 1.2/2.0,2015,−,12 W
941,Radeon HD 6610M,desktop,1.46,TeraScale 2,2011,338 USD,26 W
942,GeForce GT 635M,notebook,1.45,Fermi,2011,55 USD,35 W
943,Radeon HD 6570,desktop,1.44,TeraScale 2,2011,66 USD,60 W
944,GeForce 820A,desktop,1.43,Fermi 2.0,2014,238 USD,15 W
945,Radeon HD 3870,desktop,1.43,TeraScale,2007,195 USD,106 W
946,GF117,desktop,1.43,Fermi 2.0,−,70 USD,−
947,GeForce 9800M GS,notebook,1.43,G9x,2008,180 USD,60 W
948,GeForce GTS 250M,notebook,1.43,GT2xx,2009,230 USD,28 W
949,Radeon HD 6755G2,notebook,1.42,Terascale 2,2011,−,−
950,Radeon R5 M335,notebook,1.41,GCN 1.0,2015,891 USD,−
951,Radeon HD 8550M,notebook,1.41,GCN,2012,338 USD,−
952,GeForce 615,desktop,1.41,Fermi,2012,858 USD,49 W
953,Radeon R7 M265,notebook,1.41,GCN,2014,585 USD,−
954,Mobility Radeon HD 5730,notebook,1.40,Terascale 2,2010,−,26 W
955,GeForce GT 630M,notebook,1.39,Fermi,2011,1121 USD,35 W
956,GeForce GT 435M,notebook,1.39,Fermi,2010,67 USD,35 W
957,Mobility Radeon HD 5830,notebook,1.39,Terascale 2,2010,−,24 W
958,HD Graphics 5000,notebook,1.38,Gen. 7.5 Haswell,2013,489 USD,30 W
959,Quadro 600,workstation,1.38,Fermi,2010,118 USD,40 W
960,GRID K180Q,workstation,1.38,Kepler,2013,−,130 W
961,Radeon HD 6680G2,notebook,1.37,Terascale 2,2011,−,−
962,Radeon HD 6570M,notebook,1.37,Terascale 2,2010,338 USD,30 W
963,Radeon HD 8670D,desktop,1.37,Terascale 3,2013,89 USD,100 W
964,Radeon R5 M255,notebook,1.37,GCN,2014,−,−
965,HD Graphics 510,notebook,1.37,Gen. 9 Skylake,2015,476 USD,15 W
966,FirePro M5800,mobile workstation,1.37,Terascale 2,2010,60 USD,26 W
967,Mobility Radeon HD 5650,notebook,1.36,Terascale 2,2010,24 USD,15 W
968,HD Graphics 515,notebook,1.36,Gen. 9 Skylake,2015,512 USD,15 W
969,Quadro FX 5600,workstation,1.36,Tesla,2007,209 USD,171 W
970,Radeon HD 8650G,notebook,1.36,Terascale 3,2013,300 USD,35 W
971,GeForce GT 425M,notebook,1.35,Fermi,2010,45 USD,23 W
972,HD Graphics 4400,notebook,1.35,Gen. 7.5 Haswell,2013,425 USD,20 W
973,Radeon HD 8670M,notebook,1.34,GCN,2012,338 USD,−
974,UHD Graphics 610,notebook,1.34,Gen. 9 Kaby Lake,2019,601 USD,15 W
975,Mobility Radeon HD 3870,notebook,1.34,RV6xx,2008,−,55 W
976,Mobility Radeon,desktop,1.33,Rage 6,2001,202 USD,−
977,Mobility Radeon HD 4830,notebook,1.33,Terascale 1,2009,−,−
978,Radeon R5 (Stoney Ridge),notebook,1.33,GCN 1.2/2.0,2016,−,12 W
979,UHD Graphics (Jasper Lake 16 EU),notebook,1.32,Gen. 11,2021,−,4.8 W
980,NVS 5200M,mobile workstation,1.32,Fermi,2012,139 USD,25 W
981,Radeon HD 6510G2,notebook,1.32,Terascale 2,2011,−,−
982,Radeon HD 6730M,notebook,1.32,Terascale 2,2011,338 USD,35 W
983,GeForce GT 240,desktop,1.32,GT2xx,2009,708 USD,69 W
984,Radeon HD 6520G + HD 7450M Dual Graphics,notebook,1.32,Terascale 2,2012,90 USD,−
985,Radeon HD 6550M,notebook,1.32,Terascale 2,2010,338 USD,26 W
986,GeForce 9800 GTX+,desktop,1.31,Tesla,2009,151 USD,141 W
987,GeForce GTS 150M,notebook,1.30,G9x,2009,230 USD,45 W
988,Radeon HD 7660D,desktop,1.30,Terascale 3,2012,41 USD,100 W
989,GeForce 820M,notebook,1.29,Fermi,2014,490 USD,15 W
990,Radeon HD 6540G2,notebook,1.29,Terascale 2,2011,−,−
991,Radeon R7 M265DX,desktop,1.29,GCN 3.0,2014,−,−
992,Radeon R7 M260,notebook,1.28,GCN,2014,430 USD,−
993,Radeon HD 6530M,notebook,1.28,Terascale 2,2010,338 USD,26 W
994,Radeon R5 M420,notebook,1.27,GCN,2016,−,−
995,GeForce 9600 GT,desktop,1.26,Tesla,2008,141 USD,95 W
996,GeForce 8800 GT,desktop,1.24,Tesla,2007,166 USD,125 W
997,Radeon HD 5570,desktop,1.24,Terascale 2,2010,149 USD,39 W
998,Quadro K500M,mobile workstation,1.24,Kepler,2012,20 USD,35 W
999,GeForce GT 540M,notebook,1.24,Fermi,2011,283 USD,35 W
1000,GeForce 9800 GT,desktop,1.23,Tesla,2008,154 USD,125 W
1001,GeForce GT 625M,notebook,1.23,Fermi,2012,310 USD,15 W
1002,GeForce 800A,desktop,1.23,Fermi 2.0,2014,−,15 W
1003,Radeon HD 7670M,notebook,1.23,Terascale 2,2011,338 USD,20 W
1004,GeForce 710A,desktop,1.23,Fermi 2.0,2013,−,33 W
1005,Radeon HD 7660G,notebook,1.22,Terascale 3,2012,950 USD,35 W
1006,Radeon R5 M315,notebook,1.22,GCN,2015,−,−
1007,Mobility Radeon HD 4670,notebook,1.22,Terascale 1,2009,143 USD,35 W
1008,Radeon HD 7500G + HD 7550M Dual Graphics,notebook,1.21,Terascale 3,2012,105 USD,−
1009,HD Graphics 5300,notebook,1.21,Gen. 8 Broadwell,2014,623 USD,15 W
1010,Radeon R5 (Kaveri),notebook,1.21,GCN 1.1,2014,−,−
1011,Quadro FX 1800M,mobile workstation,1.20,GT2xx,2010,309 USD,45 W
1012,Quadro FX 3600M,mobile workstation,1.20,G9x,2008,80 USD,70 W
1013,Radeon HD 7550M,notebook,1.20,Terascale 2,2012,338 USD,14 W
1014,GeForce 8800M GTX,notebook,1.19,G9x,2007,160 USD,65 W
1015,GeForce GT 720M,notebook,1.19,Fermi,2013,499 USD,18 W
1016,GeForce 710M,notebook,1.19,Fermi,2013,44 USD,15 W
1017,GeForce GT 525M,notebook,1.19,Fermi,2011,310 USD,25 W
1018,Radeon HD 6480G + HD 7450M Dual Graphics,notebook,1.18,Terascale 2,2012,90 USD,−
1019,Radeon HD 7640G,notebook,1.18,Terascale 3,2012,338 USD,35 W
1020,GeForce 800M,desktop,1.18,Fermi 2.0,2014,163 USD,15 W
1021,Quadro FX 3700M,mobile workstation,1.18,G9x,2008,163 USD,75 W
1022,Radeon HD 7560D,desktop,1.18,Terascale 3,2012,39 USD,65 W
1023,GeForce 705M,notebook,1.17,Fermi,2013,163 USD,15 W
1024,Radeon R4 (Stoney Ridge),notebook,1.17,GCN 1.2/2.0,2016,−,15 W
1025,HD Graphics 4000,notebook,1.17,Gen. 7 Ivy Bridge,2011,91 USD,45 W
1026,GeForce 9800M GTX,notebook,1.17,G9x,2008,103 USD,75 W
1027,UHD Graphics 605,notebook,1.17,Gen. 9 Apollo Lake,2017,458 USD,5 W
1028,Radeon R5 M240,notebook,1.16,GCN,2014,−,−
1029,GeForce GT 710M,desktop,1.15,Fermi 2.0,2013,23 USD,15 W
1030,Radeon R5 M320,notebook,1.15,GCN 2.0,2015,−,−
1031,Radeon HD 8570D,desktop,1.14,Terascale 3,2012,79 USD,65 W
1032,Radeon HD 7650M,notebook,1.14,Terascale 2,2012,338 USD,20 W
