,Name,User rating %,Value %,Avg. Bench %,Memory Pts,8-Core Pts,Mkt. share %,Age months,Price €,fecha,cuartil,año,Q_año
13,AMD Ryzen 7 1700X,70,65.6,71,70.1,674,0.05,85,319,2017-04-21 18:42:51.754560,Q2,2017,Q2 2017
14,AMD Ryzen 7 2700X,70,71.7,75.7,75.3,708,0.33,71,290,2018-06-15 18:42:51.754560,Q2,2018,Q2 2018
15,AMD Ryzen 5 3600X,70,0,84.1,76.9,808,0.24,57,,2019-08-09 18:42:51.754560,Q3,2019,Q3 2019
16,AMD Ryzen 7 7700X,70,103,112,80.7,1369,0.25,18,328,2022-10-22 18:42:51.754560,Q4,2022,Q4 2022
17,Intel Core i7-13700KF,70,0,126,85.3,1664,0.62,19,,2022-09-22 18:42:51.754560,Q3,2022,Q3 2022
18,Intel Core i7-7700HQ,69,0,62,71.6,421,0.62,87,,2017-02-20 18:42:51.754560,Q1,2017,Q1 2017
19,AMD Ryzen 9 5950X,69,0,100,81,1232,0.19,41,,2020-12-01 18:42:51.754560,Q4,2020,Q4 2020
20,AMD Ryzen 7 1700,69,0,69,70,640,0.07,85,,2017-04-21 18:42:51.754560,Q2,2017,Q2 2017
21,AMD Ryzen 5 1600X,68,74.4,73.7,73.1,646,0.04,84,231,2017-05-21 18:42:51.754560,Q2,2017,Q2 2017
22,Intel Pentium G4560,67,0,57.3,75.4,239,0.04,87,,2017-02-20 18:42:51.754560,Q1,2017,Q1 2017
23,Intel Core i3-8100,67,92.7,70.6,81.8,359,0.27,78,89,2017-11-17 18:42:51.754560,Q4,2017,Q4 2017
24,AMD Ryzen 7 3800X,67,82.5,87,76.3,922,0.16,57,290,2019-08-09 18:42:51.754560,Q3,2019,Q3 2019
25,Intel Core i7-8750H,66,0,70.1,77.7,514,0.65,72,,2018-05-16 18:42:51.754560,Q2,2018,Q2 2018
26,AMD Ryzen 7 1800X,66,0,71.8,70.2,686,0.02,85,,2017-04-21 18:42:51.754560,Q2,2017,Q2 2017
27,Intel Core i5-6500,66,73.8,63.6,75.7,315,0.68,103,139,2015-10-29 18:42:51.754560,Q4,2015,Q4 2015
28,Intel Core i7-5820K,66,91.1,76.8,86.4,594,0.14,116,129,2014-10-04 18:42:51.754560,Q4,2014,Q4 2014
29,Intel Core i9-10900K,66,80.3,99.6,91.1,1100,0.44,47,524,2020-06-04 18:42:51.754560,Q2,2020,Q2 2020
30,Intel Core i7-4770K,65,79.7,73.6,85.6,497,0.25,133,179,2013-05-12 18:42:51.754560,Q2,2013,Q2 2013
31,Intel Core i7-6800K,65,0,80.9,86,660,0.08,94,,2016-07-25 18:42:51.754560,Q3,2016,Q3 2016
32,AMD Ryzen 3 2200G,64,83.7,60.5,64.4,345,0.09,74,73,2018-03-17 18:42:51.754560,Q1,2018,Q1 2018
33,AMD Ryzen 3 3200G,64,85,62.7,66.9,357,0.12,57,79,2019-08-09 18:42:51.754560,Q3,2019,Q3 2019
34,Intel Core i5-2500,63,0,62.9,80.2,279,0.1,124,,2014-02-06 18:42:51.754560,Q1,2014,Q1 2014
35,AMD Ryzen TR 2950X,63,0,81.1,70.7,951,0,67,,2018-10-13 18:42:51.754560,Q4,2018,Q4 2018
36,Intel Core i7-3930K,63,0,74.4,85.2,548,0.04,149,,2012-01-18 18:42:51.754560,Q1,2012,Q1 2012
37,AMD Ryzen TR 2990WX,63,0,78.9,76.6,838,0.01,67,,2018-10-13 18:42:51.754560,Q4,2018,Q4 2018
38,AMD Ryzen TR 1950X,63,0,76.7,69.3,876,0.01,80,,2017-09-18 18:42:51.754560,Q3,2017,Q3 2017
39,AMD Ryzen 5 2400G,63,0,62.5,68.1,520,0.07,74,,2018-03-17 18:42:51.754560,Q1,2018,Q1 2018
40,Intel Core i5-6600,63,69.2,67.6,78.7,345,0.21,103,219,2015-10-29 18:42:51.754560,Q4,2015,Q4 2015
41,Intel Core i7-7820X,63,0,80.1,75.5,822,0.06,81,,2017-08-19 18:42:51.754560,Q3,2017,Q3 2017
42,AMD Ryzen 7 2700,63,73.6,73.8,75.7,667,0.11,71,241,2018-06-15 18:42:51.754560,Q2,2018,Q2 2018
43,AMD Ryzen 7 5800X3D,63,0,104,95.5,1034,0.43,24,,2022-04-25 18:42:51.754560,Q2,2022,Q2 2022
44,Intel Core i3-9350KF,62,0,89.3,89.1,523,0,61,,2019-04-11 18:42:51.754560,Q2,2019,Q2 2019
45,Intel Core i7-6700HQ,62,0,58.7,68.7,393,0.35,103,,2015-10-29 18:42:51.754560,Q4,2015,Q4 2015
46,Intel Core i7-2600,62,76.5,67.1,84.1,394,0.28,159,149,2011-03-24 18:42:51.754560,Q1,2011,Q1 2011
47,Intel Core i7-3770K,62,70.6,72.4,86.9,458,0.22,144,261,2012-06-16 18:42:51.754560,Q2,2012,Q2 2012
48,Intel Core i5-4670K,62,0,68,81.8,332,0.15,130,,2013-08-10 18:42:51.754560,Q3,2013,Q3 2013
49,Intel Core i7-6950X,62,0,86.8,88.2,884,0.02,94,,2016-07-25 18:42:51.754560,Q3,2016,Q3 2016
50,AMD Ryzen TR 2920X,62,0,80.7,70.9,892,0,65,,2018-12-12 18:42:51.754560,Q4,2018,Q4 2018
1,AMD Ryzen 9 7950X,62,0,114,79.3,1527,0.09,18,,2022-10-22 18:42:51.754560,Q4,2022,Q4 2022
2,Intel Core i5-4590,61,0,63.5,76.9,307,0.39,117,,2014-09-04 18:42:51.754560,Q3,2014,Q3 2014
3,Intel Core i7-4790,61,79.4,71.4,82.6,482,0.63,119,163,2014-07-06 18:42:51.754560,Q3,2014,Q3 2014
4,Intel Core i3-6100,61,68.8,55.4,71.8,237,0.2,102,109,2015-11-28 18:42:51.754560,Q4,2015,Q4 2015
5,AMD Ryzen 3 1200,61,0,57,64.8,302,0.03,80,,2017-09-18 18:42:51.754560,Q3,2017,Q3 2017
6,AMD Ryzen 5 1500X,61,0,66.4,71.8,503,0.04,84,,2017-05-21 18:42:51.754560,Q2,2017,Q2 2017
