Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX8071512900KS,Intel,Core i9-12900KS,20,119,7188,https://cpu.userbenchmark.com/SpeedTest/1821519/12th-Gen-IntelR-CoreTM-i9-12900KS
CPU,,Intel,Core i9-14900HX,21,118,278,https://cpu.userbenchmark.com/SpeedTest/2269186/IntelR-CoreTM-i9-14900HX
CPU,100-100000909WOF,AMD,Ryzen 9 7900X3D,22,117,706,https://cpu.userbenchmark.com/SpeedTest/2053257/AMD-Ryzen-9-7900X3D-12-Core-Processor
CPU,100-100000910WOF,AMD,Ryzen 7 7800X3D,23,117,4275,https://cpu.userbenchmark.com/SpeedTest/2081998/AMD-Ryzen-7-7800X3D-8-Core-Processor
CPU,,Intel,Core i9-13980HX,24,117,4493,https://cpu.userbenchmark.com/SpeedTest/2030055/13th-Gen-IntelR-CoreTM-i9-13980HX
CPU,BX8071512900KF,Intel,Core i9-12900KF,25,117,15291,https://cpu.userbenchmark.com/SpeedTest/1685583/12th-Gen-IntelR-CoreTM-i9-12900KF
CPU,BX8071512900K,Intel,Core i9-12900K,26,117,66991,https://cpu.userbenchmark.com/Intel-Core-i9-12900K/Rating/4118
CPU,100-100000589WOF,AMD,Ryzen 9 7900X,27,116,2844,https://cpu.userbenchmark.com/AMD-Ryzen-9-7900X/Rating/4132
CPU,,Intel,Core i9-13950HX,28,116,1063,https://cpu.userbenchmark.com/SpeedTest/2033250/13th-Gen-IntelR-CoreTM-i9-13950HX
CPU,BX8071513600,Intel,Core i5-13600,29,116,103,https://cpu.userbenchmark.com/SpeedTest/2013466/13th-Gen-IntelR-CoreTM-i5-13600
CPU,,Intel,Core i9-13900HX,30,115,8895,https://cpu.userbenchmark.com/SpeedTest/2023039/13th-Gen-IntelR-CoreTM-i9-13900HX
CPU,BX8071514500,Intel,Core i5-14500,31,114,85,https://cpu.userbenchmark.com/SpeedTest/2255984/IntelR-CoreTM-i5-14500
CPU,BX8071512700K,Intel,Core i7-12700K,32,114,78749,https://cpu.userbenchmark.com/Intel-Core-i7-12700K/Rating/4119
CPU,BX8071512700KF,Intel,Core i7-12700KF,33,114,70812,https://cpu.userbenchmark.com/SpeedTest/1699429/12th-Gen-IntelR-CoreTM-i7-12700KF
CPU,100-100000514WOF,AMD,Ryzen 9 7950X,34,114,3143,https://cpu.userbenchmark.com/AMD-Ryzen-9-7950X/Rating/4133
CPU,BX8071512900F,Intel,Core i9-12900F,35,113,1540,https://cpu.userbenchmark.com/SpeedTest/1757838/12th-Gen-IntelR-CoreTM-i9-12900F
CPU,BX8071513500,Intel,Core i5-13500,36,113,3785,https://cpu.userbenchmark.com/Intel-Core-i5-13500/Rating/4147
CPU,100-100000591WOF,AMD,Ryzen 7 7700X,37,112,4548,https://cpu.userbenchmark.com/AMD-Ryzen-7-7700X/Rating/4131
CPU,,Intel,Core i7-13850HX,38,111,152,https://cpu.userbenchmark.com/SpeedTest/2085967/13th-Gen-IntelR-CoreTM-i7-13850HX
CPU,BX8071512900,Intel,Core i9-12900,39,111,2410,https://cpu.userbenchmark.com/SpeedTest/1668917/12th-Gen-IntelR-CoreTM-i9-12900
CPU,,Intel,Core i7-14700HX,40,111,27,https://cpu.userbenchmark.com/SpeedTest/2222576/IntelR-CoreTM-i7-14700HX
CPU,100-100000593WOF,AMD,Ryzen 5 7600X,41,110,2519,https://cpu.userbenchmark.com/AMD-Ryzen-5-7600X/Rating/4130
CPU,100-100000590BOX,AMD,Ryzen 9 7900,42,109,672,https://cpu.userbenchmark.com/SpeedTest/2015863/AMD-Ryzen-9-7900-12-Core-Processor
CPU,BX8071512600KF,Intel,Core i5-12600KF,43,109,40032,https://cpu.userbenchmark.com/SpeedTest/1700734/12th-Gen-IntelR-CoreTM-i5-12600KF
CPU,BX8071512600K,Intel,Core i5-12600K,44,109,101563,https://cpu.userbenchmark.com/Intel-Core-i5-12600K/Rating/4120
CPU,100-100000592BOX,AMD,Ryzen 7 7700,45,109,711,https://cpu.userbenchmark.com/SpeedTest/2016389/AMD-Ryzen-7-7700-8-Core-Processor
CPU,BX8071512700F,Intel,Core i7-12700F,46,109,19845,https://cpu.userbenchmark.com/Intel-Core-i7-12700F/Rating/4124
CPU,BX8071512700,Intel,Core i7-12700,47,108,25535,https://cpu.userbenchmark.com/SpeedTest/1750830/12th-Gen-IntelR-CoreTM-i7-12700
CPU,,Intel,Core i7-13700HX,48,108,3030,https://cpu.userbenchmark.com/SpeedTest/1994585/13th-Gen-IntelR-CoreTM-i7-13700HX
CPU,,Intel,Core i7-12650HX,49,107,1,https://cpu.userbenchmark.com/SpeedTest/1798547/12th-Gen-IntelR-CoreTM-i7-12650HX
CPU,,Intel,Core i9-13900H,50,107,5250,https://cpu.userbenchmark.com/SpeedTest/2035047/13th-Gen-IntelR-CoreTM-i9-13900H
CPU,BX8071514400F,Intel,Core i5-14400F,51,107,93,https://cpu.userbenchmark.com/SpeedTest/2273207/IntelR-CoreTM-i5-14400F
CPU,,Intel,Core i9-12950HX,52,107,578,https://cpu.userbenchmark.com/SpeedTest/1842274/12th-Gen-IntelR-CoreTM-i9-12950HX
CPU,100-000001015BOX,AMD,Ryzen 5 7600,53,106,1442,https://cpu.userbenchmark.com/SpeedTest/2016198/AMD-Ryzen-5-7600-6-Core-Processor
CPU,BX8071513400,Intel,Core i5-13400,54,106,1201,https://cpu.userbenchmark.com/SpeedTest/1990711/13th-Gen-IntelR-CoreTM-i5-13400
CPU,BX8071513400F,Intel,Core i5-13400F,55,106,5603,https://cpu.userbenchmark.com/Intel-Core-i5-13400F/Rating/4144
CPU,,Intel,Core i9-12900HX,56,105,1278,https://cpu.userbenchmark.com/SpeedTest/1832602/12th-Gen-IntelR-CoreTM-i9-12900HX
CPU,,Intel,Core i7-13800H,57,105,290,https://cpu.userbenchmark.com/SpeedTest/2065142/13th-Gen-IntelR-CoreTM-i7-13800H
CPU,,Intel,Core i7-13650HX,58,104,2398,https://cpu.userbenchmark.com/SpeedTest/2049566/13th-Gen-IntelR-CoreTM-i7-13650HX
CPU,100-100000651WOF,AMD,Ryzen 7 5800X3D,59,104,20824,https://cpu.userbenchmark.com/SpeedTest/1817839/AMD-Ryzen-7-5800X3D-8-Core-Processor
CPU,BX8070811900KF,Intel,Core i9-11900KF,60,104,17778,https://cpu.userbenchmark.com/SpeedTest/1515781/11th-Gen-IntelR-CoreTM-i9-11900KF---350GHz
CPU,,Intel,Core i7-13700H,61,104,4359,https://cpu.userbenchmark.com/SpeedTest/2039665/13th-Gen-IntelR-CoreTM-i7-13700H
CPU,100-000000597,AMD,Ryzen 5 7500F,62,103,1613,https://cpu.userbenchmark.com/SpeedTest/2144536/AMD-Ryzen-5-7500F-6-Core-Processor
CPU,BX8070811900K,Intel,Core i9-11900K,63,103,44319,https://cpu.userbenchmark.com/Intel-Core-i9-11900K/Rating/4110
CPU,,Intel,Core i7-13620H,64,103,3136,https://cpu.userbenchmark.com/SpeedTest/2049481/13th-Gen-IntelR-CoreTM-i7-13620H
CPU,BX8071512600,Intel,Core i5-12600,65,102,2632,https://cpu.userbenchmark.com/SpeedTest/1751978/12th-Gen-IntelR-CoreTM-i5-12600
CPU,BX8070811700KF,Intel,Core i7-11700KF,66,102,17565,https://cpu.userbenchmark.com/SpeedTest/1514594/11th-Gen-IntelR-CoreTM-i7-11700KF---360GHz
CPU,BX8070811700K,Intel,Core i7-11700K,67,101,65651,https://cpu.userbenchmark.com/Intel-Core-i7-11700K/Rating/4107
CPU,100-100000059WOF,AMD,Ryzen 9 5950X,68,100,33026,https://cpu.userbenchmark.com/AMD-Ryzen-9-5950X/Rating/4086
CPU,100-100001176WOF,AMD,Ryzen 5 5600X3D,69,100,1473,https://cpu.userbenchmark.com/SpeedTest/2142471/AMD-Ryzen-5-5600X3D-6-Core-Processor
CPU,BX8070811900F,Intel,Core i9-11900F,70,100,3566,https://cpu.userbenchmark.com/SpeedTest/1492552/11th-Gen-IntelR-CoreTM-i9-11900F---250GHz
CPU,,Intel,Core i5-13500H,71,99.9,1437,https://cpu.userbenchmark.com/SpeedTest/2055743/13th-Gen-IntelR-CoreTM-i5-13500H
CPU,BX8070811900,Intel,Core i9-11900,72,99.9,3353,https://cpu.userbenchmark.com/SpeedTest/1515871/11th-Gen-IntelR-CoreTM-i9-11900---250GHz
CPU,,Intel,Core i9-12900HK,73,99.7,2176,https://cpu.userbenchmark.com/SpeedTest/1763927/12th-Gen-IntelR-CoreTM-i9-12900HK
CPU,BX8070110900K,Intel,Core i9-10900K,74,99.6,107269,https://cpu.userbenchmark.com/Intel-Core-i9-10900K/Rating/4071
CPU,BX8070110900KF,Intel,Core i9-10900KF,75,99.5,21040,https://cpu.userbenchmark.com/SpeedTest/1174369/IntelR-CoreTM-i9-10900KF-CPU---370GHz
CPU,BX8070811600K,Intel,Core i5-11600K,76,99.3,43966,https://cpu.userbenchmark.com/Intel-Core-i5-11600K/Rating/4113
CPU,BX8071512500,Intel,Core i5-12500,77,99.2,3715,https://cpu.userbenchmark.com/Intel-Core-i5-12500/Rating/4123
CPU,BX8070811600KF,Intel,Core i5-11600KF,78,99.1,9286,https://cpu.userbenchmark.com/SpeedTest/1512279/11th-Gen-IntelR-CoreTM-i5-11600KF---390GHz
CPU,100-100000061WOF,AMD,Ryzen 9 5900X,79,99,60132,https://cpu.userbenchmark.com/AMD-Ryzen-9-5900X/Rating/4087
CPU,,Intel,Core i9-12900H,80,99,15403,https://cpu.userbenchmark.com/SpeedTest/1757877/12th-Gen-IntelR-CoreTM-i9-12900H
CPU,BX8070110850K,Intel,Core i9-10850K,81,98.9,84873,https://cpu.userbenchmark.com/SpeedTest/1255865/IntelR-CoreTM-i9-10850K-CPU---360GHz
CPU,BX80684I99900KS,Intel,Core i9-9900KS,82,98.8,12840,https://cpu.userbenchmark.com/SpeedTest/929964/IntelR-CoreTM-i9-9900KS-CPU---400GHz
CPU,BX8070811700F,Intel,Core i7-11700F,83,98.3,21161,https://cpu.userbenchmark.com/SpeedTest/1522100/11th-Gen-IntelR-CoreTM-i7-11700F---250GHz
CPU,BX8071512400,Intel,Core i5-12400,84,98.2,17352,https://cpu.userbenchmark.com/Intel-Core-i5-12400/Rating/4122
CPU,BX8070811700,Intel,Core i7-11700,85,98.1,20430,https://cpu.userbenchmark.com/SpeedTest/1450761/11th-Gen-IntelR-CoreTM-i7-11700---250GHz
CPU,100-100000063WOF,AMD,Ryzen 7 5800X,86,98.1,128080,https://cpu.userbenchmark.com/AMD-Ryzen-7-5800X/Rating/4085
CPU,BX8071512400F,Intel,Core i5-12400F,87,98,48886,https://cpu.userbenchmark.com/Intel-Core-i5-12400F/Rating/4121
CPU,,Intel,Core i7-12800H,88,98,2192,https://cpu.userbenchmark.com/SpeedTest/1760724/12th-Gen-IntelR-CoreTM-i7-12800H
CPU,BX80684I99900K,Intel,Core i9-9900K,89,97.9,354223,https://cpu.userbenchmark.com/Intel-Core-i9-9900K/Rating/4028
CPU,,Intel,Core i5-13420H,90,97.9,902,https://cpu.userbenchmark.com/SpeedTest/2088006/13th-Gen-IntelR-CoreTM-i5-13420H
CPU,BX80684I99900KF,Intel,Core i9-9900KF,91,97.8,50265,https://cpu.userbenchmark.com/SpeedTest/764533/IntelR-CoreTM-i9-9900KF-CPU---360GHz
CPU,,AMD,Ryzen 9 5900,92,97.2,1297,https://cpu.userbenchmark.com/SpeedTest/1528736/AMD-Ryzen-9-5900-12-Core-Processor
CPU,BX80684I79700KF,Intel,Core i7-9700KF,93,97.1,32736,https://cpu.userbenchmark.com/SpeedTest/710154/IntelR-CoreTM-i7-9700KF-CPU---360GHz
CPU,100-100001503WOF,AMD,Ryzen 7 5700X3D,94,97.1,109,https://cpu.userbenchmark.com/SpeedTest/2280831/AMD-Ryzen-7-5700X3D-8-Core-Processor
CPU,,Intel,Core i7-12700H,95,97,52857,https://cpu.userbenchmark.com/SpeedTest/1750314/12th-Gen-IntelR-CoreTM-i7-12700H
CPU,BX8070811600,Intel,Core i5-11600,96,97,2296,https://cpu.userbenchmark.com/SpeedTest/1543284/11th-Gen-IntelR-CoreTM-i5-11600---280GHz
CPU,BX8071514100F,Intel,Core i3-14100F,97,96.9,25,https://cpu.userbenchmark.com/SpeedTest/2275778/IntelR-CoreTM-i3-14100F
CPU,BX80684I79700K,Intel,Core i7-9700K,98,96.9,550833,https://cpu.userbenchmark.com/Intel-Core-i7-9700K/Rating/4030
CPU,BX8070110700K,Intel,Core i7-10700K,99,96.5,198859,https://cpu.userbenchmark.com/Intel-Core-i7-10700K/Rating/4070
CPU,BX8071513100,Intel,Core i3-13100,100,96.3,207,https://cpu.userbenchmark.com/SpeedTest/2011672/13th-Gen-IntelR-CoreTM-i3-13100
CPU,BX8070110700KF,Intel,Core i7-10700KF,101,96.3,37394,https://cpu.userbenchmark.com/SpeedTest/1171560/IntelR-CoreTM-i7-10700KF-CPU---380GHz
CPU,,Intel,Core i7-12650H,102,96.2,16339,https://cpu.userbenchmark.com/SpeedTest/1807229/12th-Gen-IntelR-CoreTM-i7-12650H
CPU,BX8070811500,Intel,Core i5-11500,103,96.1,2701,https://cpu.userbenchmark.com/SpeedTest/1496869/11th-Gen-IntelR-CoreTM-i5-11500---270GHz
CPU,BX8071513100F,Intel,Core i3-13100F,104,96,997,https://cpu.userbenchmark.com/Intel-Core-i3-13100F/Rating/4143
CPU,100-100000926WOF,AMD,Ryzen 7 5700X,105,96,15311,https://cpu.userbenchmark.com/SpeedTest/1823386/AMD-Ryzen-7-5700X-8-Core-Processor
CPU,BX8071512300,Intel,Core i3-12300,106,95.9,25,https://cpu.userbenchmark.com/SpeedTest/1796462/12th-Gen-IntelR-CoreTM-i3-12300
CPU,100-100000065BOX,AMD,Ryzen 5 5600X,107,95.9,383420,https://cpu.userbenchmark.com/AMD-Ryzen-5-5600X/Rating/4084
CPU,,AMD,Ryzen 7 5800,108,95.9,1982,https://cpu.userbenchmark.com/SpeedTest/1496609/AMD-Ryzen-7-5800-8-Core-Processor
CPU,BX8070110900F,Intel,Core i9-10900F,109,95.4,8499,https://cpu.userbenchmark.com/SpeedTest/1196789/IntelR-CoreTM-i9-10900F-CPU---280GHz
CPU,,Intel,Core Ultra 9 185H,110,95.3,47,https://cpu.userbenchmark.com/SpeedTest/2281017/IntelR-CoreTM-Ultra-9-185H
CPU,100-100001236BOX,AMD,Ryzen 7 8700G,111,95.2,29,https://cpu.userbenchmark.com/SpeedTest/2282824/AMD-Ryzen-7-8700G-w-Radeon-780M-Graphics
CPU,,Intel,Core i5-12600H,112,94.9,51,https://cpu.userbenchmark.com/SpeedTest/1847567/12th-Gen-IntelR-CoreTM-i5-12600H
CPU,,Intel,Core i7-1370P,113,94.4,258,https://cpu.userbenchmark.com/SpeedTest/2086746/13th-Gen-IntelR-CoreTM-i7-1370P
CPU,BX8070811400,Intel,Core i5-11400,114,94.2,24459,https://cpu.userbenchmark.com/Intel-Core-i5-11400/Rating/4112
CPU,BX8070811400F,Intel,Core i5-11400F,115,94.2,46609,https://cpu.userbenchmark.com/Intel-Core-i5-11400F/Rating/4111
CPU,BX8071512100F,Intel,Core i3-12100F,116,94.1,11860,https://cpu.userbenchmark.com/Intel-Core-i3-12100F/Rating/4125
CPU,,Intel,Core i9-10900,117,94,11130,https://cpu.userbenchmark.com/SpeedTest/1169242/IntelR-CoreTM-i9-10900-CPU---280GHz
CPU,BX8071512100,Intel,Core i3-12100,118,94,1513,https://cpu.userbenchmark.com/Intel-Core-i3-12100/Rating/4126
CPU,,Intel,Core i5-12500H,119,94,11588,https://cpu.userbenchmark.com/SpeedTest/1793224/12th-Gen-IntelR-CoreTM-i5-12500H
CPU,BX80684I59600K,Intel,Core i5-9600K,120,93.2,321194,https://cpu.userbenchmark.com/Intel-Core-i5-9600K/Rating/4031
CPU,BX8070110700F,Intel,Core i7-10700F,121,93.2,44448,https://cpu.userbenchmark.com/SpeedTest/1183814/IntelR-CoreTM-i7-10700F-CPU---290GHz
CPU,BX80684I59600KF,Intel,Core i5-9600KF,122,93.2,65122,https://cpu.userbenchmark.com/SpeedTest/772658/IntelR-CoreTM-i5-9600KF-CPU---370GHz
CPU,100-100000927BOX,AMD,Ryzen 5 5600,123,93.1,9841,https://cpu.userbenchmark.com/SpeedTest/1822932/AMD-Ryzen-5-5600-6-Core-Processor
CPU,100-100001237BOX,AMD,Ryzen 5 8600G,124,93.1,24,https://cpu.userbenchmark.com/SpeedTest/2284167/AMD-Ryzen-5-8600G-w-Radeon-760M-Graphics
CPU,,Intel,Core i9-11980HK,125,93.1,1108,https://cpu.userbenchmark.com/SpeedTest/1569162/11th-Gen-IntelR-CoreTM-i9-11980HK---260GHz
CPU,BX8070110700,Intel,Core i7-10700,126,92.6,71010,https://cpu.userbenchmark.com/Intel-Core-i7-10700/Rating/4077
CPU,BX80684I59600,Intel,Core i5-9600,127,92.3,931,https://cpu.userbenchmark.com/SpeedTest/853186/IntelR-CoreTM-i5-9600-CPU---310GHz
CPU,BX8070110600K,Intel,Core i5-10600K,128,92.2,70951,https://cpu.userbenchmark.com/Intel-Core-i5-10600K/Rating/4072
CPU,,Intel,Core i7-1360P,129,92.1,1017,https://cpu.userbenchmark.com/SpeedTest/2032791/13th-Gen-IntelR-CoreTM-i7-1360P
CPU,BX80684I79700,Intel,Core i7-9700,130,92,79875,https://cpu.userbenchmark.com/SpeedTest/816180/IntelR-CoreTM-i7-9700-CPU---300GHz
CPU,BX80684I79700F,Intel,Core i7-9700F,131,92,54980,https://cpu.userbenchmark.com/SpeedTest/816132/IntelR-CoreTM-i7-9700F-CPU---300GHz
CPU,BX8070110600KF,Intel,Core i5-10600KF,132,91.9,24257,https://cpu.userbenchmark.com/SpeedTest/1225152/IntelR-CoreTM-i5-10600KF-CPU---410GHz
CPU,,Intel,Core i9-11950H,133,91.9,660,https://cpu.userbenchmark.com/SpeedTest/1554081/11th-Gen-IntelR-CoreTM-i9-11950H---260GHz
CPU,BX80684I99900,Intel,Core i9-9900,134,91.4,11853,https://cpu.userbenchmark.com/SpeedTest/816115/IntelR-CoreTM-i9-9900-CPU---310GHz
CPU,BX80684I78086K,Intel,Core i7-8086K,135,90.8,38086,https://cpu.userbenchmark.com/SpeedTest/516988/IntelR-CoreTM-i7-8086K-CPU---400GHz
CPU,BX80684I58600K,Intel,Core i5-8600K,136,90.7,264837,https://cpu.userbenchmark.com/Intel-Core-i5-8600K/Rating/3941
CPU,BX8070110600,Intel,Core i5-10600,137,90.2,7605,https://cpu.userbenchmark.com/Intel-Core-i5-10600/Rating/4069
CPU,,Intel,Core i3-10320,138,89.6,620,https://cpu.userbenchmark.com/SpeedTest/1180543/IntelR-CoreTM-i3-10320-CPU---380GHz
CPU,100-100000051WOF,AMD,Ryzen 9 3950X,139,89.3,50170,https://cpu.userbenchmark.com/AMD-Ryzen-9-3950X/Rating/4057
CPU,BX80684I39350KF,Intel,Core i3-9350KF,140,89.3,1442,https://cpu.userbenchmark.com/Intel-Core-i3-9350KF/Rating/4055
CPU,,Intel,Core i9-11900H,141,89,6494,https://cpu.userbenchmark.com/SpeedTest/1539880/11th-Gen-IntelR-CoreTM-i9-11900H---250GHz
CPU,,Intel,Core i5-12450H,142,88.9,9550,https://cpu.userbenchmark.com/SpeedTest/1814904/12th-Gen-IntelR-CoreTM-i5-12450H
CPU,,Intel,Core i7-11850H,143,88.9,3563,https://cpu.userbenchmark.com/SpeedTest/1557007/11th-Gen-IntelR-CoreTM-i7-11850H---250GHz
CPU,,AMD,Ryzen 9 7945HX,144,88.7,225,https://cpu.userbenchmark.com/SpeedTest/2064608/AMD-Ryzen-9-7945HX-with-Radeon-Graphics
CPU,100-100000277WOF,AMD,Ryzen 9 3900XT,145,88.7,16922,https://cpu.userbenchmark.com/SpeedTest/1202614/AMD-Ryzen-9-3900XT-12-Core-Processor
CPU,100-100000931BOX,AMD,Ryzen 5 8500G,146,88.7,24,https://cpu.userbenchmark.com/SpeedTest/2284775/AMD-Ryzen-5-8500G-w-Radeon-740M-Graphics
CPU,,Intel,Core Ultra 7 155H,147,88.7,123,https://cpu.userbenchmark.com/SpeedTest/2193961/IntelR-CoreTM-Ultra-7-155H
CPU,BX80684I78700K,Intel,Core i7-8700K,148,88.4,746287,https://cpu.userbenchmark.com/Intel-Core-i7-8700K/Rating/3937
CPU,BX80684I58600,Intel,Core i5-8600,149,88.2,18241,https://cpu.userbenchmark.com/SpeedTest/477251/IntelR-CoreTM-i5-8600-CPU---310GHz
CPU,100-100000279WOF,AMD,Ryzen 7 3800XT,150,88.1,13898,https://cpu.userbenchmark.com/SpeedTest/1218139/AMD-Ryzen-7-3800XT-8-Core-Processor
CPU,,Intel,Core i5-1340P,151,88,447,https://cpu.userbenchmark.com/SpeedTest/2033578/13th-Gen-IntelR-CoreTM-i5-1340P
CPU,,AMD,Ryzen 9 7845HX,152,88,163,https://cpu.userbenchmark.com/SpeedTest/2064997/AMD-Ryzen-9-7845HX-with-Radeon-Graphics
CPU,,Intel,Core i7-11800H,153,88,56029,https://cpu.userbenchmark.com/SpeedTest/1542191/11th-Gen-IntelR-CoreTM-i7-11800H---230GHz
CPU,100-100000023BOX,AMD,Ryzen 9 3900X,154,87.9,197342,https://cpu.userbenchmark.com/AMD-Ryzen-9-3900X/Rating/4044
CPU,100-100000263BOX,AMD,Ryzen 7 5700G,155,87.7,17091,https://cpu.userbenchmark.com/SpeedTest/1552677/AMD-Ryzen-7-5700G-with-Radeon-Graphics
CPU,BX8070110300,Intel,Core i3-10300,156,87.4,391,https://cpu.userbenchmark.com/Intel-Core-i3-10300/Rating/4074
CPU,100-100000010WOF,AMD,Ryzen TR 3960X,157,87.2,6609,https://cpu.userbenchmark.com/SpeedTest/969111/AMD-Ryzen-Threadripper-3960X-24-Core-Processor
CPU,BX8069510920X,Intel,Core i9-10920X,158,87.2,3007,https://cpu.userbenchmark.com/SpeedTest/931866/IntelR-CoreTM-i9-10920X-CPU---350GHz
CPU,100-100000025BOX,AMD,Ryzen 7 3800X,159,87,141122,https://cpu.userbenchmark.com/AMD-Ryzen-7-3800X/Rating/4047
CPU,BX80677I77740X,Intel,Core i7-7740X,160,87,5094,https://cpu.userbenchmark.com/SpeedTest/304932/IntelR-CoreTM-i7-7740X-CPU---430GHz
CPU,BX80684I78700,Intel,Core i7-8700,161,87,349567,https://cpu.userbenchmark.com/Intel-Core-i7-8700/Rating/3940
CPU,BX80684I59500,Intel,Core i5-9500,162,87,9059,https://cpu.userbenchmark.com/SpeedTest/825467/IntelR-CoreTM-i5-9500-CPU---300GHz
CPU,,Intel,Core i7-1280P,163,86.9,783,https://cpu.userbenchmark.com/SpeedTest/1817404/12th-Gen-IntelR-CoreTM-i7-1280P
CPU,BX80671I76950X,Intel,Core i7-6950X,164,86.8,6135,https://cpu.userbenchmark.com/Intel-Core-i7-6950X/Rating/3604
CPU,BX80684I59400,Intel,Core i5-9400,165,86.5,22187,https://cpu.userbenchmark.com/SpeedTest/735306/IntelR-CoreTM-i5-9400-CPU---290GHz
CPU,BX80673I99920X,Intel,Core i9-9920X,166,86.4,1009,https://cpu.userbenchmark.com/SpeedTest/656219/IntelR-CoreTM-i9-9920X-CPU---350GHz
CPU,,AMD,Ryzen 7 7840HS,167,86.3,2024,https://cpu.userbenchmark.com/SpeedTest/2112343/AMD-Ryzen-7-7840HS-w-Radeon-780M-Graphics
CPU,100-100000457BOX,AMD,Ryzen 5 5500,168,86.2,4817,https://cpu.userbenchmark.com/SpeedTest/1820844/AMD-Ryzen-5-5500
CPU,100-100000252BOX,AMD,Ryzen 5 5600G,169,86.1,14368,https://cpu.userbenchmark.com/SpeedTest/1553183/AMD-Ryzen-5-5600G-with-Radeon-Graphics
CPU,100-100000011WOF,AMD,Ryzen TR 3970X,170,86.1,5130,https://cpu.userbenchmark.com/SpeedTest/970030/AMD-Ryzen-Threadripper-3970X-32-Core-Processor
CPU,100-100000071BOX,AMD,Ryzen 7 3700X,171,85.9,635419,https://cpu.userbenchmark.com/AMD-Ryzen-7-3700X/Rating/4043
CPU,BX80671I76900K,Intel,Core i7-6900K,172,85.9,6755,https://cpu.userbenchmark.com/Intel-Core-i7-6900K/Rating/3605
CPU,100-000000163,AMD,Ryzen TR 3990X,173,85.8,1222,https://cpu.userbenchmark.com/SpeedTest/1035665/AMD-Ryzen-Threadripper-3990X-64-Core-Processor
CPU,BX8069510940X,Intel,Core i9-10940X,174,85.7,1827,https://cpu.userbenchmark.com/SpeedTest/932085/IntelR-CoreTM-i9-10940X-CPU---330GHz
CPU,,Intel,Core i9-10900T,175,85.5,163,https://cpu.userbenchmark.com/SpeedTest/1238258/IntelR-CoreTM-i9-10900T-CPU---190GHz
